Movie_ID,Title,Genre,Release_Year,Duration_Minutes,Budget_Million_USD,Box_Office_Million_USD,Director_Popularity_Score,Cast_Popularity_Score,User_ID,Age,Gender,Country,Subscription_Type,Rating,Review_Sentiment,Watch_Time_Minutes,Rewatch,Review_Length_Words,Timestamp
103,Film_103,Comedy,2002,154,40.0,147.56,5.1,4.0,960,32,Female,France,Standard,3.5,Neutral,31,No,196,2025-08-13
277,Film_277,Action,2021,171,27.2,100.0,9.8,,1284,29,Female,France,Standard,4.0,Positive,80,No,139,2023-01-21
841,Film_841,Romance,1981,163,154.45,664.38,3.2,7.1,2535,42,Non-binary,UK,Standard,4.5,Positive,161,Yes,6,2024-01-25
566,Film_566,Sci-Fi,1993,174,53.02,42.26,9.3,1.8,3943,46,Non-binary,UK,Standard,3.0,Neutral,82,No,28,2025-07-10
217,Film_217,Drama,1988,167,8.45,26.44,4.6,3.6,4959,62,Male,Australia,Free,4.0,Positive,70,No,32,2023-05-15
201,Film_201,Drama,2014,123,120.69,140.16,6.7,,4975,51,Male,Australia,Standard,4.5,Positive,43,No,107,2025-03-05
393,Film_393,Horror,2011,83,105.54,417.56,9.2,3.2,306,32,Male,Germany,Free,4.0,Positive,74,No,66,2025-08-10
646,Film_646,Horror,2007,168,60.84,158.83,3.9,2.0,4991,45,Male,Germany,Premium,3.5,Neutral,166,Yes,66,2024-11-07
225,Film_225,Animation,2020,131,240.8,393.64,4.3,9.7,4879,41,Female,India,Free,4.5,Positive,110,No,191,2023-04-23
2,Film_2,Action,1998,81,140.46,453.78,5.8,5.0,4837,45,Male,France,Standard,4.0,Positive,67,No,28,2025-04-16
884,Film_884,Documentary,1985,159,171.0,100.51,1.4,6.3,297,39,Female,Japan,Standard,3.5,Neutral,81,No,237,2025-07-17
936,Film_936,Drama,2010,173,47.86,236.91,7.3,,2485,57,Male,Germany,Standard,4.0,Positive,169,No,201,2023-02-06
160,Film_160,Comedy,2003,133,25.61,42.56,8.0,6.8,4190,26,Male,Canada,Standard,4.0,Positive,118,Yes,103,2023-06-02
861,Film_861,Thriller,2015,112,48.81,119.23,1.2,5.4,3061,63,Female,India,Standard,4.0,Positive,77,No,208,2025-08-12
883,Film_883,Comedy,1987,106,163.05,580.47,4.9,4.2,4665,39,Male,India,Premium,5.0,Positive,33,No,39,2023-07-11
49,Film_49,Romance,2020,116,241.83,1177.3,9.4,4.9,116,61,Female,France,Free,5.0,Positive,116,No,165,2023-09-13
323,Film_323,Comedy,2019,125,247.56,295.12,1.9,6.5,227,35,Female,Australia,Premium,4.0,Positive,62,No,141,2025-03-21
246,Film_246,Horror,2015,124,102.21,76.65,2.7,1.6,2906,43,Female,USA,Standard,4.5,Positive,80,No,157,2024-11-28
575,Film_575,Thriller,1994,133,207.83,367.63,5.8,3.9,3361,39,Female,India,Free,4.5,Positive,125,No,120,2023-12-16
47,Film_47,Drama,1998,171,50.16,62.24,7.7,3.3,4464,67,Female,India,Free,3.5,Neutral,151,No,5,2025-01-20
